feri;FERI;9a8a7ba8-c81a-4496-b0c8-9a2533caec03
fkbv;Fakulteta za kmetijstvo in biosistemske vede;65919594-ca2f-49fa-8a79-f6265830e417
fs;Fakulteta za strojništvo;8241a85d-3a48-44d2-96f6-769a589870b7
ff;Filozofska fakulteta;e4080ee6-b312-4571-9335-6657c13846a2
pf;Pravna fakulteta;552c71f2-eea2-492b-ad39-34b282d6681e
ft;Fakulteta za turizem;56fafa18-eb63-40f2-a94c-c4fd766bf123
fkkt;Fakulteta za kemijo in kemijsko tehnologijo;fb1d487f-7002-4c68-a8e5-8c48dd8e403d
pef;Pedagoška fakulteta;2c256d22-640c-4080-91e5-f0df11be016e
epf;Ekonomsko-poslovna fakulteta;fec1a851-407b-440e-a2aa-3fe441c2aada
fzv;Fakulteta za zdravstvene vede;aa8bb0cf-7cfc-4951-83c1-425e443f2074
fl;Fakulteta za logistiko;0db0066c-8df2-4652-b93a-04abea14ce24
